token0,token1,current_price,high_conf_lower,high_conf_upper,typical_lower,typical_upper,median_max_dev,lag1_acf,lag1_slope,num_observations,total_overlapping_hours,horizon_hours,n_boots,actual_coverage_pct
HYPE,SOL,2.21387441,0.523041,1.426382,0.845353,1.088678,0.213762,-0.066896,-0.066714,11829,11822,336,5000,95.0
BCH,DOGE,0.000213,0.735738,1.410454,0.917746,1.084826,0.14746,-0.066412,-0.066411,17520,17492,336,5000,95.0
XMR,HYPE,0.11257668,0.614664,1.923014,0.866019,1.180792,0.267219,-0.064165,-0.064059,11829,11819,336,5000,95.0
HYPE,BNB,16.20334841,0.539863,1.457178,0.855723,1.11379,0.224279,-0.062439,-0.062296,11829,11820,336,5000,95.0
BCH,SOL,0.18949365,0.748748,1.338576,0.919983,1.07959,0.140042,-0.060227,-0.060223,17520,17491,336,5000,95.0
HYPE,BTC,1864.08420326,0.534729,1.450027,0.853889,1.107671,0.220114,-0.059528,-0.059372,11829,11821,336,5000,95.0
LTC,BCH,7.97633438,0.767509,1.335353,0.927839,1.076073,0.129259,-0.058753,-0.058753,17520,17491,336,5000,95.0
XMR,BNB,1.82411912,0.706769,1.321321,0.910332,1.080706,0.145812,-0.058642,-0.058643,17520,17497,336,5000,95.0
HYPE,ETH,57.42649926,0.538176,1.430463,0.85318,1.100977,0.214518,-0.055514,-0.05537,11829,11821,336,5000,95.0
XMR,BTC,209.8524047,0.718489,1.322316,0.9138,1.075896,0.141395,-0.053047,-0.053047,17520,17498,336,5000,95.0
HYPE,DOGE,0.00248849,0.520396,1.434479,0.83163,1.09276,0.228282,-0.051669,-0.051553,11829,11820,336,5000,95.0
XMR,ETH,6.46488444,0.691709,1.366757,0.894472,1.0811,0.161549,-0.051607,-0.051608,17520,17498,336,5000,95.0
XMR,SOL,0.24923062,0.667872,1.409405,0.882378,1.089544,0.182712,-0.051237,-0.051236,17520,17497,336,5000,95.0
TAO,HYPE,0.11791034,0.644401,1.950339,0.894715,1.198574,0.261883,-0.051069,-0.050984,11829,11817,336,5000,95.0
BCH,ETH,4.91534515,0.7705,1.291504,0.929489,1.07334,0.122724,-0.049065,-0.049065,17520,17492,336,5000,95.0
SOL,BTC,842.00088241,0.795119,1.267891,0.946719,1.077383,0.113961,-0.047131,-0.04713,17520,17500,336,5000,95.0
LINK,HYPE,4.15053131,0.671573,1.866557,0.908465,1.183348,0.234919,-0.046148,-0.046042,11829,11822,336,5000,95.0
DOGE,SOL,889.64599674,0.730812,1.290358,0.932213,1.072315,0.125074,-0.046026,-0.046025,17520,17500,336,5000,95.0
HYPE,BCH,11.68310618,0.527724,1.513962,0.846268,1.116557,0.235245,-0.045351,-0.045236,11829,11819,336,5000,95.0
LTC,HYPE,0.68272378,0.663764,1.88934,0.902437,1.187437,0.241595,-0.044716,-0.044624,11829,11820,336,5000,95.0
LINK,ETH,238.3504834,0.774021,1.245216,0.944205,1.066208,0.109819,-0.042108,-0.042108,17520,17497,336,5000,95.0
LINK,DOGE,0.01032855,0.753191,1.353876,0.933228,1.074213,0.12336,-0.041185,-0.041186,17520,17496,336,5000,95.0
BNB,BTC,115.04314765,0.826808,1.183461,0.955201,1.047534,0.081101,-0.040796,-0.040793,17520,17499,336,5000,95.0
LINK,SOL,9.18875504,0.749867,1.284715,0.935827,1.071459,0.120561,-0.040306,-0.040305,17520,17496,336,5000,95.0
DOGE,ETH,23076.85342982,0.738532,1.272427,0.937385,1.073639,0.121891,-0.038746,-0.038746,17520,17502,336,5000,95.0
BCH,BTC,159.5538185,0.788948,1.289842,0.941088,1.074646,0.115611,-0.038741,-0.03874,17520,17491,336,5000,95.0
